,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
87,frozenset({'Nylon washer M2.5'}),"frozenset({'Nylon Washer M3', 'Lacing thread'})",0.15384615384615385,0.13846153846153847,0.1076923076923077,0.7,5.055555555555555,1.0,0.0863905325443787,2.8717948717948714,0.948051948051948,0.5833333333333334,0.6517857142857143,0.7388888888888889
85,frozenset({'Lacing thread'}),"frozenset({'Nylon Washer M3', 'Nylon washer M2.5'})",0.15384615384615385,0.13846153846153847,0.1076923076923077,0.7,5.055555555555555,1.0,0.0863905325443787,2.8717948717948714,0.948051948051948,0.5833333333333334,0.6517857142857143,0.7388888888888889
39,frozenset({'Nylon washer M2.5'}),frozenset({'Nylon Washer M3'}),0.15384615384615385,0.18461538461538463,0.13846153846153847,0.9,4.875,1.0,0.11005917159763315,8.153846153846155,0.9393939393939394,0.6923076923076923,0.8773584905660378,0.825
38,frozenset({'Nylon Washer M3'}),frozenset({'Nylon washer M2.5'}),0.18461538461538463,0.15384615384615385,0.13846153846153847,0.75,4.875,1.0,0.11005917159763315,3.3846153846153846,0.9748427672955976,0.6923076923076923,0.7045454545454546,0.825
22,frozenset({'Lacing thread'}),frozenset({'Nylon Washer M3'}),0.15384615384615385,0.18461538461538463,0.13846153846153847,0.9,4.875,1.0,0.11005917159763315,8.153846153846155,0.9393939393939394,0.6923076923076923,0.8773584905660378,0.825
23,frozenset({'Nylon Washer M3'}),frozenset({'Lacing thread'}),0.18461538461538463,0.15384615384615385,0.13846153846153847,0.75,4.875,1.0,0.11005917159763315,3.3846153846153846,0.9748427672955976,0.6923076923076923,0.7045454545454546,0.825
57,frozenset({'XT-90 Male Connectors'}),frozenset({'Nylon Washer M3'}),0.12307692307692308,0.18461538461538463,0.1076923076923077,0.875,4.739583333333333,1.0,0.08497041420118344,6.523076923076923,0.899749373433584,0.5384615384615384,0.8466981132075472,0.7291666666666667
56,frozenset({'Nylon Washer M3'}),frozenset({'XT-90 Male Connectors'}),0.18461538461538463,0.12307692307692308,0.1076923076923077,0.5833333333333334,4.739583333333333,1.0,0.08497041420118344,2.1046153846153848,0.9676549865229112,0.5384615384615384,0.5248538011695907,0.7291666666666667
117,frozenset({'Nylon Washer M3'}),"frozenset({'SS Square Nut M4', 'XT-60H Male Connectors'})",0.18461538461538463,0.12307692307692308,0.1076923076923077,0.5833333333333334,4.739583333333333,1.0,0.08497041420118344,2.1046153846153848,0.9676549865229112,0.5384615384615384,0.5248538011695907,0.7291666666666667
77,"frozenset({'Masking tape 1 inch', 'Lacing thread'})",frozenset({'Nylon Washer M3'}),0.12307692307692308,0.18461538461538463,0.1076923076923077,0.875,4.739583333333333,1.0,0.08497041420118344,6.523076923076923,0.899749373433584,0.5384615384615384,0.8466981132075472,0.7291666666666667
80,frozenset({'Nylon Washer M3'}),"frozenset({'Masking tape 1 inch', 'Lacing thread'})",0.18461538461538463,0.12307692307692308,0.1076923076923077,0.5833333333333334,4.739583333333333,1.0,0.08497041420118344,2.1046153846153848,0.9676549865229112,0.5384615384615384,0.5248538011695907,0.7291666666666667
112,"frozenset({'SS Square Nut M4', 'XT-60H Male Connectors'})",frozenset({'Nylon Washer M3'}),0.12307692307692308,0.18461538461538463,0.1076923076923077,0.875,4.739583333333333,1.0,0.08497041420118344,6.523076923076923,0.899749373433584,0.5384615384615384,0.8466981132075472,0.7291666666666667
71,frozenset({'SS Square Nut M4'}),"frozenset({'Plain Washer M2, SS 316'})",0.15384615384615385,0.15384615384615385,0.1076923076923077,0.7,4.55,1.0,0.08402366863905325,2.8205128205128203,0.922077922077922,0.5384615384615384,0.6454545454545454,0.7
70,"frozenset({'Plain Washer M2, SS 316'})",frozenset({'SS Square Nut M4'}),0.15384615384615385,0.15384615384615385,0.1076923076923077,0.7,4.55,1.0,0.08402366863905325,2.8205128205128203,0.922077922077922,0.5384615384615384,0.6454545454545454,0.7
63,frozenset({'Nylon washer M2.5'}),frozenset({'SS Square Nut M4'}),0.15384615384615385,0.15384615384615385,0.1076923076923077,0.7,4.55,1.0,0.08402366863905325,2.8205128205128203,0.922077922077922,0.5384615384615384,0.6454545454545454,0.7
